Y;surface;tourney_date;Opponents;O_hand;O_ht;O_age;O_rank
1;Hard;20210322;Frances Tiafoe;R;188;23.1676933607;58
1;Hard;20210322;Alexei Popyrin;R;196;21.6290212183;86
1;Hard;20210322;Yen Hsun Lu;R;180;37.6043805613;1020
1;Clay;20210503;Alejandro Davidovich Fokina;R;183;21.9110198494;49
1;Clay;20210531;Alexander Bublik;R;196;23.9534565366;37
1;Clay;20210531;Tommy Paul;R;185;24.038329911;52
1;Clay;20210531;Reilly Opelka;R;211;23.7563312799;35
1;Clay;20210531;Cristian Garin;R;185;25.0020533881;23
1;Grass;20210621;Sam Querrey;R;198;33.7056810404;60
1;Grass;20210621;Pablo Carreno Busta;R;188;29.9438740589;13
1;Grass;20210621;Casper Ruud;R;183;22.4969199179;14
1;Grass;20210621;Corentin Moutet;L;178;22.173853525;85
1;Grass;20210628;Jan Lennard Struff;R;193;31.1759069131;45
1;Grass;20210628;Carlos Alcaraz;R;185;18.1492128679;75
1;Grass;20210628;Marin Cilic;R;198;32.7474332649;37
1;Hard;20210724;Fabio Fognini;R;178;34.1546885695;31
1;Hard;20210724;Sumit Nagal;R;;23.923340178;160
1;Hard;20210724;Alexander Bublik;R;196;24.0876112252;40
1;Hard;20210809;Reilly Opelka;R;211;23.947980835;32
1;Hard;20210809;John Isner;R;206;36.2874743326;30
1;Hard;20210809;Hubert Hurkacz;R;196;24.4900752909;13
1;Hard;20210809;James Duckworth;R;183;29.5496235455;85
1;Hard;20210809;Alexander Bublik;R;196;24.1451060917;38
1;Hard;20210816;Pablo Carreno Busta;R;188;30.0971937029;13
1;Hard;20210816;Grigor Dimitrov;R;188;30.2532511978;21
1;Hard;20210816;Mackenzie Mcdonald;R;178;26.3353867214;64
1;Hard;20210830;Richard Gasquet;R;185;35.2005475702;79
1;Hard;20210830;Dominik Koepfer;L;180;27.3374401095;57
1;Hard;20210830;Pablo Andujar;R;180;35.6002737851;74
1;Hard;20210830;Daniel Evans;R;175;31.2717316906;27
1;Hard;20210830;Botic Van De Zandschulp;R;;25.9055441478;117
1;Hard;20210830;Felix Auger Aliassime;R;193;21.0595482546;15
1;Hard;20210830;Novak Djokovic;R;188;34.2751540041;1
1;Hard;20211004;Filip Krajinovic;R;185;29.6016427105;34
1;Hard;20211004;Mackenzie Mcdonald;R;178;26.46954141;57
1;Hard;20211101;Alexander Zverev;R;198;24.5338809035;4
1;Hard;20211101;Hugo Gaston;L;;21.0978781656;103
1;Hard;20211101;Sebastian Korda;R;196;21.325119781;39
1;Hard;20211101;Ilya Ivashka;R;193;27.6851471595;46
1;Hard;20211115;Casper Ruud;R;183;22.8993839836;8
1;Hard;20211115;Alexander Zverev;R;198;24.5722108145;3
1;Hard;20211115;Jannik Sinner;R;188;20.2491444216;11
1;Hard;20211115;Hubert Hurkacz;R;196;24.758384668;9
1;Hard;20211128;Pablo Carreno Busta;R;188;30.3655030801;20
1;Hard;20211127;Emilio Gomez;R;;29.9849418207;149
1;Hard;20211205;Marin Cilic;R;198;33.1690622861;30
1;Hard;20211204;Jan Lennard Struff;R;193;31.5975359343;51
1;Hard;20211202;Mikael Ymer;R;183;23.2224503765;94
1;Hard;20220103;Felix Auger Aliassime;R;193;21.4045174538;11
1;Hard;20220103;Matteo Berrettini;R;196;25.7275838467;7
1;Hard;20220103;Alex De Minaur;R;183;22.8774811773;34
1;Hard;20220117;Henri Laaksonen;R;185;29.7987679671;91
1;Hard;20220117;Nick Kyrgios;R;193;26.726899384;115
1;Hard;20220117;Botic Van De Zandschulp;R;;26.288843258;57
1;Hard;20220117;Maxime Cressy;R;198;24.6954140999;70
1;Hard;20220117;Felix Auger Aliassime;R;193;21.4428473648;9
1;Hard;20220117;Stefanos Tsitsipas;R;193;23.4332648871;4
0;Clay;20160516;Guido Pella;L;185;25.9986310746;54
0;Grass;20160606;Adrian Mannarino;L;183;27.9370294319;55
0;Clay;20160711;Daniel Gimeno Traver;R;185;30.9267624914;156
